	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
32	MJ21_2.1000_balanced.cool	all	32000	0.003539455448731774	367	1.0
33	MJ21_2.1000_balanced.cool	all	33000	0.003090797988343353	340	1.0
34	MJ21_2.1000_balanced.cool	all	34000	0.002691950615529738	313	1.0
35	MJ21_2.1000_balanced.cool	all	35000	0.002548408065839948	292	1.0
36	MJ21_2.1000_balanced.cool	all	36000	0.0023472479152992164	272	1.0
37	MJ21_2.1000_balanced.cool	all	37000	0.0029194987465607997	256	1.0
38	MJ21_2.1000_balanced.cool	all	38000	0.0030803988094706457	244	1.0
39	MJ21_2.1000_balanced.cool	all	39000	0.002309847156527727	234	1.0
40	MJ21_2.1000_balanced.cool	all	40000	0.002452259627274731	225	1.0
41	MJ21_2.1000_balanced.cool	all	41000	0.0014032542234811579	216	1.0
42	MJ21_2.1000_balanced.cool	all	42000	0.002189911867266709	207	1.0
43	MJ21_2.1000_balanced.cool	all	43000	0.0028377612186582697	201	1.0
44	MJ21_2.1000_balanced.cool	all	44000	0.0033132961872498626	196	1.0
45	MJ21_2.1000_balanced.cool	all	45000	0.0023110383187630304	192	1.0
46	MJ21_2.1000_balanced.cool	all	46000	0.0028783340421891183	188	1.0
47	MJ21_2.1000_balanced.cool	all	47000	0.0020478667607256302	184	1.0
48	MJ21_2.1000_balanced.cool	all	48000	0.002147165539306475	180	1.0
49	MJ21_2.1000_balanced.cool	all	49000	0.002182396557991436	176	1.0
50	MJ21_2.1000_balanced.cool	all	50000	0.0012663884686390228	172	1.0
51	MJ21_2.1000_balanced.cool	all	51000	0.0014405075964265678	168	1.0
52	MJ21_2.1000_balanced.cool	all	52000	0.0028128935305303947	164	1.0
53	MJ21_2.1000_balanced.cool	all	53000	0.003496156432447753	160	1.0
54	MJ21_2.1000_balanced.cool	all	54000	0.002308284030347839	156	1.0
55	MJ21_2.1000_balanced.cool	all	55000	0.0015416090144128318	152	1.0
56	MJ21_2.1000_balanced.cool	all	56000	0.0011539845701986303	148	1.0
57	MJ21_2.1000_balanced.cool	all	57000	0.001685750492444772	144	1.0
58	MJ21_2.1000_balanced.cool	all	58000	0.0017837054639497267	140	1.0
59	MJ21_2.1000_balanced.cool	all	59000	0.0024777721552732774	136	1.0
60	MJ21_2.1000_balanced.cool	all	60000	0.0018963330151073974	132	1.0
61	MJ21_2.1000_balanced.cool	all	61000	0.00128185694403776	128	1.0
62	MJ21_2.1000_balanced.cool	all	62000	0.001848958048705321	124	1.0
63	MJ21_2.1000_balanced.cool	all	63000	0.001303883592732002	120	1.0
64	MJ21_2.1000_balanced.cool	all	64000	0.0012853511387000299	116	1.0
65	MJ21_2.1000_balanced.cool	all	65000	0.0015351901173762097	112	1.0
66	MJ21_2.1000_balanced.cool	all	66000	0.0029287931845091656	108	1.0
67	MJ21_2.1000_balanced.cool	all	67000	0.001958998705335639	104	1.0
68	MJ21_2.1000_balanced.cool	all	68000	0.0006561325451987677	100	1.0
69	MJ21_2.1000_balanced.cool	all	69000	0.0022006741380414356	96	1.0
70	MJ21_2.1000_balanced.cool	all	70000	0.0014989612319654478	92	1.0
71	MJ21_2.1000_balanced.cool	all	71000	0.0019935304995402263	88	1.0
72	MJ21_2.1000_balanced.cool	all	72000	0.0025695677123303215	84	1.0
73	MJ21_2.1000_balanced.cool	all	73000	0.00038449555959862986	80	1.0
74	MJ21_2.1000_balanced.cool	all	74000	0.0015600174227770219	76	1.0
75	MJ21_2.1000_balanced.cool	all	75000	0.0011268426170813223	72	1.0
76	MJ21_2.1000_balanced.cool	all	76000	0.0016123754579698698	68	1.0
77	MJ21_2.1000_balanced.cool	all	77000	0.0029842008533062445	64	1.0
78	MJ21_2.1000_balanced.cool	all	78000	0.0017247576252969645	60	1.0
79	MJ21_2.1000_balanced.cool	all	79000	0.00030757280230768897	56	1.0
80	MJ21_2.1000_balanced.cool	all	80000	0.0009924043670199842	52	1.0
81	MJ21_2.1000_balanced.cool	all	81000	0.0008549420395787058	48	1.0
82	MJ21_2.1000_balanced.cool	all	82000	0.0006024143908420755	44	1.0
83	MJ21_2.1000_balanced.cool	all	83000	0.0007650344353653648	41	1.0
84	MJ21_2.1000_balanced.cool	all	84000	0.0022831625389593125	38	1.0
85	MJ21_2.1000_balanced.cool	all	85000	0.0018668563067123262	35	1.0
86	MJ21_2.1000_balanced.cool	all	86000	0.0011887267680835264	32	1.0
87	MJ21_2.1000_balanced.cool	all	87000	0.0019379728578111978	29	1.0
88	MJ21_2.1000_balanced.cool	all	88000	0.0009451565973899287	26	1.0
89	MJ21_2.1000_balanced.cool	all	89000	0.0018590183387328777	23	1.0
90	MJ21_2.1000_balanced.cool	all	90000	0.0007544798477358038	20	1.0
91	MJ21_2.1000_balanced.cool	all	93000	0.0015738301225824021	11	1.0
92	MJ21_2.1000_balanced.cool	all	94000	0.0021281528177847756	9	1.0
93	MJ21_2.1000_balanced.cool	all	95000	0.005164099217823696	7	1.0
